code,name,bookcount,loan_count_6m,dtl_region,전체,영유아(0~5세),유아(6~7세),초등(8~13세),청소년(14~19세),20대,30대,40대,50대,60대 이상,미상,libn_region
141139,고양시립대화도서관,147768,11515,31104,214802,0.05701064235900969,0.056652172698578224,0.12957514362063668,0.1195566149290975,0.1285509445908325,0.22102680608188005,0.15316896490721688,0.04641949330080725,0.024804238321803337,0.06323497919013789,4
141057,중봉도서관,368065,11466,31230,168182,0.04859021774030515,0.05762804580751805,0.12848580704237075,0.0831836938554661,0.12607175559810205,0.2810169934951421,0.1928981698398164,0.04842967737332176,0.031715641388495794,0.0019799978594617733,10
143015,제천시립도서관,541404,11179,33030,68011,0.053432532972607374,0.059490376556733476,0.20581964682183765,0.1629295261060711,0.14584405463822028,0.1670612106865066,0.09661672376527326,0.033994500889561984,0.0201290967637588,0.0546823307994295,2
141079,수지도서관,264513,10478,31193,334831,0.04535422347393162,0.04113418411079022,0.10656122043657844,0.14311697542939572,0.13473961491020844,0.24497731691510044,0.18435568988534515,0.05320594568603265,0.03585689497089577,0.010697934181721526,4
126143,부산광역시 연제도서관,133183,10347,21130,71018,0.02958404911430905,0.03928581486383734,0.11444985778253396,0.14106282914190768,0.1831929933256357,0.20739812441916133,0.15949477597228873,0.0529584049114309,0.03252696499479005,0.04004618547410516,2
127072,수성구립범어도서관,226716,10089,22060,137482,0.047875358228713576,0.04139450982674096,0.11286568423502713,0.1247072344015944,0.15774428652478142,0.19033764420069527,0.1950509884930391,0.0764027290845347,0.05080665105250142,0.002814913952371947,9
141069,성남시 중앙도서관,393864,10019,31023,469363,0.03696712352699297,0.05364291603726753,0.12728953922656874,0.12889597177451145,0.16010635691351896,0.2378329778870512,0.16504496519751238,0.054987291286275226,0.02911179620038222,0.006121061949919359,9
121012,부산광역시립중앙도서관,431091,9971,21010,7951,0.017607848069425232,0.0228902024902528,0.0750848949817633,0.14551628725946422,0.22563199597534905,0.19947176455791726,0.1401081624952836,0.06213054961640045,0.04754118978744812,0.06401710476669603,1
142021,춘천교육문화관,358950,9847,32010,130098,0.05441282725330136,0.03681071192485665,0.09113898753247553,0.13988685452505034,0.15715844978400895,0.2479669172469984,0.16381497025319375,0.06340604774862027,0.035949822441544065,0.009454411289950651,10
141010,경기중앙교육도서관,773070,9488,31011,221470,0.07060549961620084,0.042217907617284514,0.10994265589018827,0.12706009843319638,0.16347135052151532,0.1820562604415948,0.1188738881112566,0.03781550548607035,0.015618368176276697,0.13233846570641622,4
142020,춘천시립도서관,201542,9080,32010,130098,0.05441282725330136,0.03681071192485665,0.09113898753247553,0.13988685452505034,0.15715844978400895,0.2479669172469984,0.16381497025319375,0.06340604774862027,0.035949822441544065,0.009454411289950651,10
123006,인천광역시교육청중앙도서관,471393,8961,23050,213707,0.03174439770339764,0.043208692274937184,0.1211518574496858,0.16183372561497752,0.2435952027776348,0.2078312830183382,0.1285638748379791,0.038501312544745835,0.01623250525251864,0.007337148525785305,2
141158,오산시 중앙도서관,335571,8898,31140,127229,0.05291246492544938,0.03846607298650465,0.07891282647824002,0.1216153549898215,0.1944132234003254,0.2919853178127628,0.14561145650755725,0.037617209912834335,0.016930102413757867,0.021535970572746786,7
121018,부산광역시 금정도서관,279567,8890,21110,63709,0.042395893829757184,0.0420034845940134,0.10499301511560376,0.1210974901505282,0.1947291591454897,0.20490040653596825,0.15004159537898884,0.05573780784504544,0.03979029650441853,0.04431085090018679,2
141055,고양시립마두도서관,157503,8887,31103,173655,0.05545478103135528,0.04986899311853963,0.11318994558175692,0.11462958164176094,0.15313120843050876,0.2138492988972388,0.14763179868129336,0.05220696207998618,0.026437476605914025,0.07359995393164608,10
141038,용인중앙도서관,313808,8883,31191,140701,0.048229934399897666,0.03697201867790563,0.10247261924222288,0.16449776476357664,0.1914840690542356,0.22538574708068884,0.14867698168456514,0.0484005088805339,0.0271853078514012,0.006695048364972532,6
141591,고촌도서관,87451,8796,31230,168182,0.04859021774030515,0.05762804580751805,0.12848580704237075,0.0831836938554661,0.12607175559810205,0.2810169934951421,0.1928981698398164,0.04842967737332176,0.031715641388495794,0.0019799978594617733,10
125003,한밭도서관,613349,8635,25020,71861,0.04514270605752773,0.040828822309736855,0.101320605056985,0.14291479383810413,0.1954467652829769,0.2015140340379344,0.1638440878919024,0.05147437413896272,0.029362240993028206,0.02815157039284174,3
121005,부산광역시립부전도서관,426123,8525,21050,104467,0.02529028305589325,0.03130175079211617,0.0949103544660036,0.1584615237347679,0.22501842687164367,0.1904716321900696,0.1412407745986771,0.04707706739927441,0.02621880593871749,0.060009380952836776,4
141239,기흥도서관,195382,8524,31192,332919,0.0581252496853589,0.042950387331453,0.10412142292870036,0.11488079683046025,0.13903682277070398,0.2665903718321874,0.17380804339794365,0.0531180257059525,0.03769986092713243,0.009669018590107504,7
141052,성남시 분당도서관,381074,8492,31023,469363,0.03696712352699297,0.05364291603726753,0.12728953922656874,0.12889597177451145,0.16010635691351896,0.2378329778870512,0.16504496519751238,0.054987291286275226,0.02911179620038222,0.006121061949919359,9
122001,대구2.28기념학생도서관,347061,8440,22020,62798,0.05251759610178668,0.038584031338577664,0.08692952004840919,0.10019427370298416,0.1860409567183668,0.2520940157329851,0.1736838752826523,0.06514538679575782,0.040526768368419376,0.00428357591006083,10
122007,대구광역시립수성도서관,282350,8431,22060,137482,0.047875358228713576,0.04139450982674096,0.11286568423502713,0.1247072344015944,0.15774428652478142,0.19033764420069527,0.1950509884930391,0.0764027290845347,0.05080665105250142,0.002814913952371947,9
142015,원주시립중앙도서관,363010,8308,32020,212309,0.03944722079610378,0.03724759666335389,0.11600544489399885,0.1611707464120692,0.16613991870339928,0.22499281707322816,0.16321493671959267,0.056493130295936576,0.02504368632512046,0.010244502117197105,3
127085,수성구립고산도서관,135102,8293,22060,137482,0.047875358228713576,0.04139450982674096,0.11286568423502713,0.1247072344015944,0.15774428652478142,0.19033764420069527,0.1950509884930391,0.0764027290845347,0.05080665105250142,0.002814913952371947,9
121003,부산광역시립구포도서관,469021,8112,21080,144802,0.03506857640087844,0.033259209126945764,0.10521954116655848,0.15998397812184914,0.16452811425256558,0.16946589135509174,0.12394165826438862,0.042941395837074084,0.025386389690750133,0.140205245783898,5
144174,아산시 중앙도서관,263376,7929,34040,89113,0.10587680809758396,0.06244880096057815,0.1214188726672876,0.12022937169660992,0.1310807626272261,0.2789043125021041,0.1218228541290272,0.028469471345370482,0.016136815055042473,0.013611930919170042,7
111034,중랑구립정보도서관,263538,7892,11070,198379,0.06806163958886778,0.04559958463345415,0.09149657977910967,0.11991188583469015,0.2596696222886495,0.2291875652160763,0.11785521652997545,0.042378477560628895,0.02311736625348449,0.0027220623150635906,5
144011,세종평생교육학습관,175066,7809,29010,87912,0.04353216853216853,0.04677404677404677,0.11834561834561835,0.07695195195195195,0.1265015015015015,0.2787901537901538,0.2163868413868414,0.0576030576030576,0.02395577395577396,0.01115888615888616,2
130028,월평도서관,61639,7771,25030,152397,0.04788808178638687,0.04135908187169039,0.1099431091163212,0.12464812299454715,0.17314645301416695,0.2106471912176749,0.18815987191348912,0.05407586763518967,0.02698872025039863,0.023143500200135173,5
141036,안양시립평촌도서관,465595,7726,31042,266577,0.06197834021689792,0.041113824523496025,0.1042963196374781,0.14634045697865908,0.17864256856367955,0.23529786890842044,0.15730914520007352,0.05139228065437003,0.019604091875893268,0.004025103441032047,6
141541,흥덕도서관,126879,7659,31192,332919,0.0581252496853589,0.042950387331453,0.10412142292870036,0.11488079683046025,0.13903682277070398,0.2665903718321874,0.17380804339794365,0.0531180257059525,0.03769986092713243,0.009669018590107504,7
142014,원주교육문화관,316241,7652,32020,212309,0.03944722079610378,0.03724759666335389,0.11600544489399885,0.1611707464120692,0.16613991870339928,0.22499281707322816,0.16321493671959267,0.056493130295936576,0.02504368632512046,0.010244502117197105,3
